pre-specified mean daily river flow [m3/s] for selected sub-basins (MAP-IDs)		
Date	Timestep	Subbasin-ID.
22022002	1	996	1534
23022002	1	1012	1316
24022002	1	991	1311
25022002	1	1007	1485
26022002	1	1012	1538
27022002	1	1006	1448
28022002	1	996	1454
01032002	1	985	1438
02032002	1	1196	1332
03032002	1	1414	1361
04032002	1	1485	1439
05032002	1	1495	1526
06032002	1	1454	1449
07032002	1	1513	1539
08032002	1	1517	1542
09032002	1	1493	1317
10032002	1	1488	1307
11032002	1	1662	1456
12032002	1	1698	1336
13032002	1	1610	1424
14032002	1	1587	1451
15032002	1	1593	1473
16032002	1	1587	1418
17032002	1	1661	1320
18032002	1	1800	1397
19032002	1	1800	1305
20032002	1	1800	1408
21032002	1	1800	1481
22032002	1	1800	1477
23032002	1	1812	1376
24032002	1	1789	1213
25032002	1	1849	1325
26032002	1	1825	1541
27032002	1	1861	1337
28032002	1	1847	1331
29032002	1	1600	1227
30032002	1	1770	1220
31032002	1	1600	1237
01042002	1	1800	1319
02042002	1	1800	1468
03042002	1	1800	1495
04042002	1	1780	1453
05042002	1	1800	1382
06042002	1	1600	1347
07042002	1	1600	1343
08042002	1	1800	1378
09042002	1	1800	1648
10042002	1	1800	1385
11042002	1	1800	1484
12042002	1	1800	1446
13042002	1	1800	1459
14042002	1	1650	1314
15042002	1	1800	1353
16042002	1	1800	1375
17042002	1	1800	1413
18042002	1	1800	1460
19042002	1	1800	1449
20042002	1	1800	1401
21042002	1	1600	1273
22042002	1	1800	1306
23042002	1	1800	1391
24042002	1	1800	1523
25042002	1	1800	1451
26042002	1	1800	1488
27042002	1	1800	1378
28042002	1	1600	1312
29042002	1	1800	1548
30042002	1	1800	1444
01052002	1	1600	1407
02052002	1	1800	1501
03052002	1	1800	1497
04052002	1	1600	1490
05052002	1	1600	1462
06052002	1	1588	1541
07052002	1	1600	1426
08052002	1	1600	1562
09052002	1	1587	1657
10052002	1	1606	1479
11052002	1	1519	1783
12052002	1	1364	1371
13052002	1	1556	1744
14052002	1	1797	1762
15052002	1	1700	1764
16052002	1	1708	1857
17052002	1	1800	1878
18052002	1	1750	1727
19052002	1	1750	1356
20052002	1	2000	1694
21052002	1	2000	1727
22052002	1	2000	1685
23052002	1	2000	1680
24052002	1	1847	1571
25052002	1	1708	1493
26052002	1	1795	1238
27052002	1	1880	1550
28052002	1	1713	1575
29052002	1	1729	1656
30052002	1	1586	1735
31052002	1	1600	1567
01062002	1	1500	1396
02062002	1	1500	1447
03062002	1	1600	1510
04062002	1	1500	1619
05062002	1	1500	1698
06062002	1	1500	1677
07062002	1	1504	1579
08062002	1	1492	1567
09062002	1	1399	1499
10062002	1	1593	1584
11062002	1	1700	1672
12062002	1	1710	1676
13062002	1	1681	1625
14062002	1	1723	1758
15062002	1	1700	1592
16062002	1	1500	1416
17062002	1	1700	1547
18062002	1	1800	1687
19062002	1	1800	1553
20062002	1	1800	1540
21062002	1	1820	1585
22062002	1	1818	1637
23062002	1	1600	1444
24062002	1	1737	1468
25062002	1	1533	1550
26062002	1	1821	1509
27062002	1	1814	1588
28062002	1	1741	1591
29062002	1	1460	1494
30062002	1	1419	1345
01072002	1	1400	1554
02072002	1	1350	1555
03072002	1	1349	1553
04072002	1	1435	1539
05072002	1	1467	1563
06072002	1	1453	1441
07072002	1	1457	1374
08072002	1	1652	1400
09072002	1	1618	1560
10072002	1	1592	1699
11072002	1	1619	1593
12072002	1	1600	1617
13072002	1	1500	1599
14072002	1	1500	1629
15072002	1	1500	1573
16072002	1	1518	1624
17072002	1	1500	1643
18072002	1	1619	1548
19072002	1	1611	1669
20072002	1	1615	1655
21072002	1	1694	1327
22072002	1	1847	1604
23072002	1	1830	1742
24072002	1	1924	1748
25072002	1	1908	1690
26072002	1	1885	1708
27072002	1	1755	1589
28072002	1	1752	1404
29072002	1	1682	1691
30072002	1	1603	1692
31072002	1	1587	1640
01082002	1	1603	1638
02082002	1	1605	1643
03082002	1	1519	1608
04082002	1	1511	1428
05082002	1	1676	1622
06082002	1	1723	1739
07082002	1	1825	1864
08082002	1	1901	1918
09082002	1	1921	1906
10082002	1	1800	1605
11082002	1	1710	1405
12082002	1	1705	1511
13082002	1	1600	1604
14082002	1	1600	1658
15082002	1	1500	1623
16082002	1	1500	1688
17082002	1	1510	1680
18082002	1	1494	1420
19082002	1	1576	1511
20082002	1	1590	1607
21082002	1	1600	1631
22082002	1	1607	1652
23082002	1	1705	1674
24082002	1	1713	1649
25082002	1	1712	1354
26082002	1	1708	1571
27082002	1	1715	1646
28082002	1	1711	1682
29082002	1	1689	1635
30082002	1	1690	1632
31082002	1	1804	1793
01092002	1	1802	1702
02092002	1	1792	1848
03092002	1	1689	1995
04092002	1	1690	1967
05092002	1	1804	1917
06092002	1	1943	1914
07092002	1	2027	1657
08092002	1	2025	1678
09092002	1	2023	1917
10092002	1	2123	1982
11092002	1	2005	1924
12092002	1	2000	1978
13092002	1	1950	2066
14092002	1	1820	2008
15092002	1	1726	1753
16092002	1	1700	1958
17092002	1	1726	1961
18092002	1	1682	1957
19092002	1	1694	2038
20092002	1	1700	1939
21092002	1	1730	1873
22092002	1	1724	1649
23092002	1	1788	1950
24092002	1	1781	1905
25092002	1	1979	1822
26092002	1	1984	1870
27092002	1	1880	1799
28092002	1	1779	1826
29092002	1	1622	1581
30092002	1	1600	1677
01102002	1	1634	1811
02102002	1	1653	1764
03102002	1	1650	1801
04102002	1	1646	1751
05102002	1	1680	1886
06102002	1	1671	1544
07102002	1	1712	1777
08102002	1	1679	1869
09102002	1	1666	1877
10102002	1	1707	1826
11102002	1	1641	1869
12102002	1	1644	1649
13102002	1	1548	1570
14102002	1	1545	1806
15102002	1	1502	1901
16102002	1	1500	1919
17102002	1	1560	1909
18102002	1	1484	1934
19102002	1	1420	1875
20102002	1	1400	1702
21102002	1	1440	1770
22102002	1	1646	1983
23102002	1	1446	2048
24102002	1	1443	1942
25102002	1	1414	1979
26102002	1	1562	1981
27102002	1	1467	1788
28102002	1	1473	2018
29102002	1	1444	2198
30102002	1	1496	2192
31102002	1	1438	2184
01112002	1	1431	1975
02112002	1	1461	1781
03112002	1	1491	1810
04112002	1	1530	1869
05112002	1	1493	2075
06112002	1	1509	2062
07112002	1	1509	2026
08112002	1	1490	1920
09112002	1	1762	1660
10112002	1	1564	1771
11112002	1	1738	1900
12112002	1	1810	1930
13112002	1	1717	1964
14112002	1	1778	2071
15112002	1	1787	1778
16112002	1	1793	1811
17112002	1	1808	1851
18112002	1	1781	2085
19112002	1	1822	1917
20112002	1	1809	2047
21112002	1	1781	2031
22112002	1	1801	2176
23112002	1	1819	2073
24112002	1	1805	1897
25112002	1	1796	2035
26112002	1	1824	2134
27112002	1	1820	2085
28112002	1	1786	2143
29112002	1	1851	2343
30112002	1	1813	2080
01122002	1	1898	1704
02122002	1	1920	2115
03122002	1	1882	2163
04122002	1	1938	2166
05122002	1	1693	2226
06122002	1	1314	2271
07122002	1	1310	2135
